school_name,new_code,region_id,zone_id,woreda_id,sector_id,ownership_id,established_year
Asko kalehiwot,S1001120051,10,1,12,3,6,
Fitawurari  Habtegiorgis,S1001120062,10,1,12,4,1,
Fitawurari Habtegiorgis no 2,S1001120072,10,1,12,4,1,
Fitawurari habtegiyorgis,S1001120086,10,1,12,1,1,
Hermolan,S1001120092,10,1,12,4,4,
Kebede micheal,S1001120101,10,1,12,3,4,
kibur Kebede Michael,S1001120112,10,1,12,4,4,
Miror,S1001120121,10,1,12,3,8,
Mirror Acadamy,S1001120132,10,1,12,4,8,
Misheal,S1001120142,10,1,12,4,4,
Mishil Academy,S1001120151,10,1,12,3,4,
school of mail NO 1,S1001120161,10,1,12,3,4,
School of Mali,S1001120172,10,1,12,4,4,
St. John,S1001120183,10,1,12,5,6,
St.John,S1001120192,10,1,12,4,6,
Wisdom,S1001120202,10,1,12,3,4,2014
Wizdom,S1001120211,10,1,12,3,4,
African Generation Academy,S1002010011,10,2,13,3,4,
akaki adiventist,S1002010021,10,2,13,3,5,
Akaki Adventist,S1002010032,10,2,13,4,6,
Akaki Adventist,S1002010043,10,2,13,5,6,
Akaki Biruh Tesfa,S1002010051,10,2,13,3,1,
Akaki Biruh Tesfa,S1002010062,10,2,13,4,1,
Akaki Lesperance,S1002010073,10,2,13,5,8,
Akaki Lesperance Advent,S1002010082,10,2,13,4,8,
Akaki Menbere  Hiwot Medihanel,S1002010091,10,2,13,3,6,
Akaki Mengist,S1002010101,10,2,13,3,1,
Akaki Mengist,S1002010112,10,2,13,4,1,
Alem birhan,S1002010121,10,2,13,3,10,
Alem Birhan,S1002010132,10,2,13,4,1,
Beletech Century,S1002010141,10,2,13,3,4,
Beza,S1002010152,10,2,13,4,4,1996
Esirt mit,S1002010161,10,2,13,3,4,
Fit Awrari Abyenhe  Matakiya,S1002010172,10,2,13,4,1,
Fitawrari Abayeneh,S1002010181,10,2,13,3,1,
Fitawrary Abayneh Metekia,S1002010193,10,2,13,5,1,
LESPERANCE,S1002010201,10,2,13,3,8,
Meklit,S1002010211,10,2,13,3,1,
Menbere Hiwot Medhanialem,S1002010222,10,2,13,4,6,
school of Indiana,S1002010232,10,2,13,4,4,
School of Indiana,S1002010243,10,2,13,5,4,
school of indiyana,S1002010251,10,2,13,3,4,
school of kiroyed,S1002010261,10,2,13,3,4,
Tinsae,S1002010271,10,2,13,3,4,
Yeabsira,S1002010281,10,2,13,3,4,
Abene,S1002020011,10,2,14,3,4,
Abigiya,S1002020021,10,2,14,3,4,
Andode,S1002020031,10,2,14,3,1,
Andode,S1002020042,10,2,14,4,1,
Beza,S1002020051,10,2,14,3,4,
Elbigo,S1002020061,10,2,14,3,4,
Ethio Japan,S1002020071,10,2,14,3,1,
Ethio Japan Hdase,S1002020083,10,2,14,5,1,
Ethio- Japan Hidasie,S1002020092,10,2,14,4,1,
Tinsae Holistic,S1002020102,10,2,14,4,4,
Atse Tewodros,S1002030011,10,2,15,3,1,
Atse Tewodros,S1002030022,10,2,15,4,1,
Bethel,S1002030031,10,2,15,3,4,
Bright youth,S1002030041,10,2,15,3,4,
Harmony,S1002030051,10,2,15,3,4,
Kebron  No.1,S1002030061,10,2,15,3,4,
Megala seconadary school,S1002030073,10,2,15,5,1,
Nur acadamy,S1002030081,10,2,15,4,7,2012
Ocean,S1002030091,10,2,15,3,4,
Ocean primery school,S1002030102,10,2,15,4,4,
Selam Fre,S1002030111,10,2,15,3,1,
Selam Fre,S1002030122,10,2,15,4,1,
Abenezer  No. 1,S1002040011,10,2,16,3,4,
Abinzer No.2,S1002040022,10,2,16,4,4,
Abinzer no1,S1002040032,10,2,16,4,4,
Addis Hiwot,S1002040041,10,2,16,4,1,2003
addis hiwot,S1002040056,10,2,16,1,1,
Altamira,S1002040061,10,2,16,3,4,
Altamira,S1002040072,10,2,16,4,4,
Atronos Academy,S1002040081,10,2,16,3,4,
Babu Selam,S1002040091,10,2,16,3,4,
Beza Hiwot,S1002040101,10,2,16,3,4,
Beza Hiwot,S1002040112,10,2,16,4,4,
Elmar,S1002040122,10,2,16,4,4,
Elmar Kindergarten,S1002040131,10,2,16,3,4,
Ethio-excellance,S1002040141,10,2,16,3,4,
Gelan No.2,S1002040151,10,2,16,3,1,
Gelan No.2,S1002040162,10,2,16,4,1,
Glane Secondary  School,S1002040173,10,2,16,5,1,
Gora,S1002040181,10,2,16,4,1,2015
Hibiste Tsega no 2,S1002040191,10,2,16,3,4,
Horiazone acadamy,S1002040201,10,2,16,3,4,
Real Vision,S1002040211,10,2,16,3,4,
Seattle Academy (5-8),S1002040222,10,2,16,4,4,
Summer Land,S1002040231,10,2,16,3,4,
Abenezer,S1002050011,10,2,17,1,1,2004
Amen No-1,S1002050021,10,2,17,3,4,
Excellence,S1002050031,10,2,17,3,4,
Excellence,S1002050042,10,2,17,4,4,
Kality  Bulbula,S1002050052,10,2,17,4,1,
Kality Bulbula,S1002050061,10,2,17,3,1,
Next Generation,S1002050072,10,2,17,4,4,
Orent,S1002050081,10,2,17,3,4,
Pack Rule NASA Academy,S1002050091,10,2,17,3,4,
Simret,S1002050101,10,2,17,3,4,
Tiret,S1002050111,10,2,17,3,4,
Tsedey,S1002050121,10,2,17,3,4,
Tsedey No.1,S1002050132,10,2,17,4,4,
tsedey primary school 5-8,S1002050142,10,2,17,4,4,
Bulbula secondary school,S1002060013,10,2,18,5,1,
Ewiket Wegagen,S1002060022,10,2,18,4,1,
Ewket Wegagen,S1002060031,10,2,18,3,1,
Hibret Chibo,S1002060041,10,2,18,3,1,
Hibret Chibo,S1002060052,10,2,18,4,1,
Lesank Colins,S1002060062,10,2,18,4,4,
Mark Vision,S1002060071,10,2,18,3,4,
Mark Vision,S1002060082,10,2,18,4,4,
My Dream,S1002060091,10,2,18,3,4,
My Dream,S1002060102,10,2,18,4,4,
Scholar Youth No.2,S1002060111,10,2,18,3,4,
Scholar&#8217;s Youth 5-8,S1002060122,10,2,18,4,4,
Scholars Youth 1-4,S1002060132,10,2,18,4,4,
school of aygoda,S1002060142,10,2,18,4,4,
School Of Aygoda,S1002060153,10,2,18,5,4,
School Of Aygoda saris,S1002060161,10,2,18,3,4,
School of Aygoda/Dama hotel,S1002060171,10,2,18,3,4,
Yeroson acadamy,S1002060181,10,2,18,3,4,
A.A Maremiya,S1002070012,10,2,19,4,1,
A.A Maremiya bet,S1002070023,10,2,19,5,1,
Biruk  1-8,S1002070032,10,2,19,4,4,
Biruk Academy No.1,S1002070041,10,2,19,3,4,
Biruk No.2,S1002070051,10,2,19,3,4,
Bitanya,S1002070061,10,2,19,3,4,
efert for new generation schoo,S1002070071,10,2,19,3,4,
Ethio Bherawi Wisdom,S1002070081,10,2,19,3,4,
Ethio Korea,S1002070091,10,2,19,3,1,
Ethio Korea,S1002070102,10,2,19,4,1,
Ethio National,S1002070112,10,2,19,4,4,
Friends,S1002070121,10,2,19,3,4,
Furi,S1002070131,10,2,19,3,1,
Furi,S1002070142,10,2,19,4,1,
Gesem,S1002070152,10,2,19,4,4,
Gessem,S1002070161,10,2,19,3,4,
Hasset,S1002070172,10,2,19,4,4,
Hasset No.1,S1002070181,10,2,19,3,4,
Hasset No.2,S1002070191,10,2,19,3,4,
Hasset No.3,S1002070201,10,2,19,3,4,
Kaliti,S1002070211,10,2,19,3,1,
kality,S1002070222,10,2,19,4,1,
kality secondary school,S1002070233,10,2,19,5,1,
Kidus Gebriel,S1002070241,10,2,19,3,6,1988
School Of Indian,S1002070251,10,2,19,3,4,
Sina,S1002070261,10,2,19,3,4,
Sina,S1002070272,10,2,19,4,4,
T.L,S1002070282,10,2,19,4,4,
T.L talent kinderkarten,S1002070291,10,2,19,3,4,
Unique Ye Fiddel Gebeta,S1002070301,10,2,19,3,4,
Abune Goregoriyos,S1002080011,10,2,20,3,4,
Abune Gorgorios,S1002080022,10,2,20,4,8,
Beseka,S1002080032,10,2,20,4,1,
Derartu Tulu,S1002080043,10,2,20,5,1,
Elegant Academy,S1002080051,10,2,20,3,4,
Ethio Jermen Academy,S1002080061,10,2,20,3,4,
ethio paradaze,S1002080071,10,2,20,3,4,
Ethio Paradise,S1002080082,10,2,20,4,4,
Gelan Boy's Boarding secondary,S1002080093,10,2,20,5,1,
Hasset,S1002080102,10,2,20,4,4,
Jate,S1002080111,10,2,20,3,1,
New Vision,S1002080121,10,2,20,4,4,1998
Nolawi,S1002080131,10,2,20,3,4,
Nolawi,S1002080142,10,2,20,4,4,
School of England,S1002080152,10,2,20,4,4,
School of England no 2,S1002080161,10,2,20,3,4,
School of England No1,S1002080171,10,2,20,3,4,
School of Indiana,S1002080182,10,2,20,4,4,
Seattle,S1002080193,10,2,20,5,4,
Seattle Academy (1-4),S1002080202,10,2,20,4,4,
Serti,S1002080211,10,2,20,3,1,
serti  kg number two,S1002080221,10,2,20,3,1,
Serti Primary School,S1002080232,10,2,20,4,1,
Shine,S1002080241,10,2,20,3,4,
Siatel acadamy (1-8),S1002080252,10,2,20,4,4,
Siyatle,S1002080261,10,2,20,3,4,
Summer Land,S1002080272,10,2,20,4,10,
Sunrise,S1002080281,10,2,20,3,4,
Woltane,S1002080291,10,2,20,3,4,
WOLTANE ACADAMY,S1002080302,10,2,20,4,4,
Z.M,S1002080312,10,2,20,4,4,
Z.M.,S1002080321,10,2,20,3,4,
Genda Turi,S1002090011,10,2,21,3,8,
Global Tang,S1002090021,10,2,21,3,4,
Keradyon Academy,S1002090031,10,2,21,3,4,
Ketebo,S1002090041,10,2,21,3,1,
Kilinto No 2,S1002090051,10,2,21,3,1,
Kilinto primary school No.1,S1002090062,10,2,21,4,1,
Kilinto secondary,S1002090073,10,2,21,5,1,
klinto No.1,S1002090081,10,2,21,3,1,
Klinto no2,S1002090092,10,2,21,4,1,
Koye,S1002090103,10,2,21,5,1,
koye network,S1002090111,10,2,21,3,1,
koye no 1,S1002090122,10,2,21,4,1,
koye no 2,S1002090132,10,2,21,4,1,
lendon wood acadamy,S1002090142,10,2,21,4,4,
Linden Wood Academy,S1002090151,10,2,21,3,4,
Mulusew,S1002090161,10,2,21,3,4,
Nifase selk,S1002090171,10,2,21,3,1,
School of Winners,S1002090181,10,2,21,3,4,
Bikiltu gelan,S1002100011,10,2,22,3,1,
Gelan Gura,S1002100021,10,2,22,3,1,
Gelan Gura,S1002100032,10,2,22,4,1,
Kersa,S1002110011,10,2,23,4,1,2008
Qersa primary school,S1002110022,10,2,23,4,10,
artist hachalu pri primary sch,S1002120011,10,2,24,3,1,
B.M.B  NO. 2,S1002120021,10,2,24,3,4,
B.M.B /Enbutochu/,S1002120032,10,2,24,4,4,
Colicees No1,S1002120041,10,2,24,3,4,
Coliques No.1,S1002120052,10,2,24,4,4,
Ethio National,S1002120061,10,2,24,3,4,
Ethio National,S1002120072,10,2,24,4,10,
EThio National,S1002120083,10,2,24,5,4,
HACHALU HUNDESA PRIMARY SCHOOL,S1002120092,10,2,24,4,1,
Hachalu Hundessa 2nd school,S1002120103,10,2,24,5,1,
Hibeste Tega,S1002120112,10,2,24,4,4,
Hibiste-tsega,S1002120121,10,2,24,3,4,
Kids Care,S1002120131,10,2,24,3,8,
Raey  Yohannis,S1002120141,10,2,24,3,4,
Salo,S1002120152,10,2,24,4,1,
Shawel Tsegaye,S1002120161,10,2,24,3,4,
Everest one,S1002130011,10,2,25,3,4,
fanta eder bet,S1002130026,10,2,25,1,1,
Feche,S1002130031,10,2,25,3,1,
Freedom,S1002130042,10,2,25,4,4,
Freedom Kiderkarten,S1002130051,10,2,25,3,4,
Green new generation,S1002130061,10,2,25,3,4,
Green new generation,S1002130072,10,2,25,4,4,
green new generation,S1002130083,10,2,25,5,10,
HIRUYAN ACADEMY,S1002130091,10,2,25,3,4,
Memory Academy,S1002130101,10,2,25,3,4,
Meraf,S1002130111,10,2,25,3,4,
PANJA,S1002130121,10,2,25,3,4,
panja school,S1002130132,10,2,25,4,4,
Salinat,S1002130141,10,2,25,3,4,
School of Kerodes,S1002130152,10,2,25,4,4,
Tulu dimtu,S1002130163,10,2,25,5,1,
Tulu Dimtu No 1,S1002130172,10,2,25,4,1,
Tulu Dimtu No.1,S1002130181,10,2,25,3,1,
Tulu Dimtu No.2,S1002130191,10,2,25,3,1,
Tulu Dimtu No.2,S1002130202,10,2,25,4,1,
Africa Andenet No.1,S1003010012,10,3,26,4,1,
Africa Andinet No.1,S1003010021,10,3,26,3,1,
Africa Andnet No 1,S1003010036,10,3,26,1,1,
Hibret,S1003010041,10,3,26,3,1,
Hibret,S1003010052,10,3,26,4,1,
John  Of Kennedy,S1003010062,10,3,26,4,1,
John  Of Kennedy,S1003010076,10,3,26,1,10,
Jone of Kennedy,S1003010081,10,3,26,3,1,
Kids Paradise,S1003010091,10,3,26,3,4,
lice g/mariam,S1003010101,10,3,26,3,8,
Lice G/Mariam,S1003010112,10,3,26,4,2,
Lideta Catholic Catehedral,S1003010123,10,3,26,5,6,
Lideta Catholic Cathedral,S1003010132,10,3,26,4,5,
Lideta nativity girls school,S1003010143,10,3,26,5,6,
Lycee Franco-Ethiopia,S1003010153,10,3,26,5,5,
Nativity Girls school,S1003010162,10,3,26,4,5,
Tikur Anbesa,S1003010173,10,3,26,5,1,
Abebech Gobena,S1003020012,10,3,27,4,1,
Africa Andenet No 2,S1003020021,10,3,27,3,1,
Africa Andenet No.2,S1003020032,10,3,27,4,1,
AFRICA ANDENET NO.2,S1003020046,10,3,27,1,1,
AGAZIAN,S1003020056,10,3,27,1,1,
Agazian No3,S1003020063,10,3,27,5,1,
Ali Ebunu Abutalib,S1003020071,10,3,27,3,4,
Key kokeb,S1003020082,10,3,27,4,1,
Key Kokeb,S1003020096,10,3,27,1,1,
Key Kokebe,S1003020101,10,3,27,3,1,
MIRACLE ACADAMI,S1003020111,10,3,27,3,4,
Najashi Academy,S1003020122,10,3,27,4,4,
Nejashi,S1003020133,10,3,27,5,4,
NEJASHI ACADAMI,S1003020141,10,3,27,3,4,
School Of Tomorrow,S1003020151,10,3,27,3,4,
School Of Tomorrow,S1003020162,10,3,27,4,4,
Yididiya Academy,S1003020171,10,3,27,3,4,
Addis Ababa Luteran,S1003030012,10,3,28,4,6,
Adiss Hiywot,S1003030021,10,3,28,3,4,
Arbegnoch,S1003030032,10,3,28,4,1,
Arbegnoch kg,S1003030041,10,3,28,3,1,
Atse Fasil,S1003030051,10,3,28,3,1,
Atse Fasil,S1003030062,10,3,28,4,1,
atse fasil,S1003030076,10,3,28,1,10,
Dagem Berhan,S1003030081,10,3,28,3,3,
EB academe,S1003030091,10,3,28,3,4,
Elon Academy,S1003030101,10,3,28,3,4,
Elon Academy,S1003030112,10,3,28,4,4,
Endurans acadame,S1003030121,10,3,28,3,4,
Ethiopia Tikdem,S1003030132,10,3,28,4,1,
Ethiopia Tikedem,S1003030141,10,3,28,3,1,
Ethiopian Ediget,S1003030152,10,3,28,4,1,
Future Hopes,S1003030161,10,3,28,3,4,
Future Hopes,S1003030172,10,3,28,4,4,
Gage,S1003030181,10,3,28,3,4,
Gage,S1003030192,10,3,28,4,4,
Kidist Kilara,S1003030201,10,3,28,3,6,
Laura Academy,S1003030212,10,3,28,4,4,
School Of Paragon,S1003030221,10,3,28,3,4,
School Of Paragon,S1003030232,10,3,28,4,4,
Tibeb Ediget,S1003030242,10,3,28,4,1,
TIBEBE EDIGET,S1003030256,10,3,28,1,1,
W/ro Kelemework,S1003030263,10,3,28,5,1,
Awoliya,S1003040012,10,3,29,4,5,
Bethelhem,S1003040023,10,3,29,3,6,2007
Italy Community,S1003040031,10,3,29,3,8,
Italy Community,S1003040042,10,3,29,4,2,
Italy Community,S1003040053,10,3,29,5,2,
Jiva,S1003040061,10,3,29,3,4,
Jiva,S1003040072,10,3,29,4,4,
Jiva,S1003040083,10,3,29,5,4,
Laura Academy No.1,S1003040091,10,3,29,3,4,
Laura Academy No.2,S1003040101,10,3,29,3,4,
Melkam Ermejachen,S1003040112,10,3,29,4,1,
Melkam Ermjachin,S1003040121,10,3,29,3,1,
Melkam ermjachin,S1003040136,10,3,29,1,1,
New Era,S1003040142,10,3,29,4,1,
Newera,S1003040156,10,3,29,1,1,
Ras Abebe Aregay,S1003040161,10,3,29,3,1,
Ras Abebe Aregay,S1003040172,10,3,29,4,1,
Timhirt Bilchita,S1003040182,10,3,29,4,1,
Woreda 1 kebele 03,S1003040191,10,3,29,3,8,
Yealem Berhan,S1003040202,10,3,29,4,1,
5 Kilo Children,S1003050011,10,3,30,3,3,
Atse Naod,S1003050026,10,3,30,1,1,
Atse Naod Primary,S1003050032,10,3,30,4,1,
Bata International,S1003050041,10,3,30,3,4,
Beherawi  Betemengist,S1003050052,10,3,30,4,1,
Dej/Belay Zeleke,S1003050063,10,3,30,5,1,
Genet,S1003050071,10,3,30,4,1,1995
Kavor of  Areminian,S1003050082,10,3,30,4,4,
Mekane Eyesuse,S1003050092,10,3,30,4,4,
My Little Angeles,S1003050101,10,3,30,3,4,
My Little Angeles,S1003050112,10,3,30,4,4,
Nazereth,S1003050123,10,3,30,5,5,
Nazreth school,S1003050132,10,3,30,4,5,
Radical,S1003050142,10,3,30,4,4,
Radical,S1003050153,10,3,30,5,4,
Radical Academy,S1003050161,10,3,30,3,4,
Super Holi Saver No-2,S1003050171,10,3,30,3,4,
Super Holly Savior,S1003050181,10,3,30,3,4,
Abune Gorgorios,S1003060011,10,3,31,3,4,
Abune Gorgorios,S1003060022,10,3,31,4,4,
Abune Gorgorios,S1003060033,10,3,31,5,4,
Behere Ethiopia,S1003060041,10,3,31,3,1,
Behere Ethiopia,S1003060052,10,3,31,4,1,
Bhere Ethiopia,S1003060066,10,3,31,1,1,
Indian,S1003060072,10,3,31,4,2,
Indian International,S1003060081,10,3,31,3,4,
Indian International,S1003060093,10,3,31,5,2,
Jacaranda,S1003060101,10,3,31,3,4,
sanford  international,S1003060113,10,3,31,5,2,
Sanford International,S1003060121,10,3,31,3,10,
Sanford International,S1003060132,10,3,31,4,2,
Super Little Flower,S1003060141,10,3,31,3,4,
Supper Little Flower,S1003060152,10,3,31,4,4,
Menbere Mebgist St. Gebriel Mo,S1003070011,10,3,32,3,6,
Menbere Mengist Kidus Gebriel,S1003070022,10,3,32,4,6,
Menbere Mengist Kidus Gebriel,S1003070033,10,3,32,5,6,
Meskerem,S1003070041,10,3,32,3,1,
Meskerem primary school,S1003070052,10,3,32,4,1,
Meskerem,S1003070063,10,3,32,5,1,
Meskerm,S1003070076,10,3,32,1,1,
Dagmawi Menelik,S1003080012,10,3,33,4,1,
Dagmawi Menilik,S1003080021,10,3,33,3,1,
Dagmawi Minilik,S1003080033,10,3,33,5,1,
Holly Trinity Cathedral,S1003080042,10,3,33,4,6,
Holly Trinity Cathedral,S1003080053,10,3,33,5,6,
Kidist Silasse Cathederal,S1003080061,10,3,33,3,6,
